id,family_id,product_code,variant_suffix,configuration_type,configuration_name,specifications,bounding_box,page_number,notes,created_at
74,11,1105-43-04,-04,STANDARD,,"{""Artikelnr"": ""1105-43-04"", ""ID mm"": ""6,5"", ""ID tum"": ""1/4\"""", ""YD mm"": ""13,4"", ""Arb.tr. MPa"": ""45,0"", ""Böjradie mm"": ""45"", ""Vikt kg/m"": ""0,30""}","[172.93565899392834, 648.4640024820964, 532.6655168204472, 662.2239919026692]",8,,2025-10-30 12:59:01
75,11,1105-43-06,-06,STANDARD,,"{""Artikelnr"": ""1105-43-06"", ""ID mm"": ""10,0"", ""ID tum"": ""3,8\"""", ""YD mm"": ""17,4"", ""Arb.tr. MPa"": ""38,5"", ""Böjradie mm"": ""70"", ""Vikt kg/m"": ""0,46""}","[172.93565899392834, 662.2239919026692, 532.6655168204472, 675.9839813232422]",8,,2025-10-30 12:59:01
76,11,1105-43-08,-08,STANDARD,,"{""Artikelnr"": ""1105-43-08"", ""ID mm"": ""13,0"", ""ID tum"": ""1/2\"""", ""YD mm"": ""20,6"", ""Arb.tr. MPa"": ""34,5"", ""Böjradie mm"": ""90"", ""Vikt kg/m"": ""0,58""}","[172.93565899392834, 675.9839813232422, 532.6655168204472, 689.7439707438151]",8,,2025-10-30 12:59:01
77,11,1105-43-12,-12,STANDARD,,"{""Artikelnr"": ""1105-43-12"", ""ID mm"": ""19,0"", ""ID tum"": ""3/4\"""", ""YD mm"": ""27,7"", ""Arb.tr. MPa"": ""28,0"", ""Böjradie mm"": ""160"", ""Vikt kg/m"": ""0,86""}","[172.93565899392834, 689.7439707438151, 532.6655168204472, 703.503960164388]",8,,2025-10-30 12:59:01
78,11,1105-43-16,-16,STANDARD,,"{""Artikelnr"": ""1105-43-16"", ""ID mm"": ""25,0"", ""ID tum"": ""1\"""", ""YD mm"": ""35,6"", ""Arb.tr. MPa"": ""20,0"", ""Böjradie mm"": ""210"", ""Vikt kg/m"": ""1,23""}","[172.93565899392834, 703.503960164388, 532.6655168204472, 717.263949584961]",8,,2025-10-30 12:59:01
90,13,1104-17-04-30,-04-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1104-17-04-30"", ""Dimension"": ""1/4\"""", ""Min.längd"": ""-"", ""Max längd"": ""260""}","[173.88545712557706, 453.48840325249563, 537.0436345880681, 465.70440395779076]",9,,2025-10-30 12:59:27
91,13,1104-17-06-30,-06-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1104-17-06-30"", ""Dimension"": ""3/8\"""", ""Min.längd"": ""-"", ""Max längd"": ""175""}","[173.88545712557706, 465.70440395779076, 537.0436345880681, 477.9204046630859]",9,,2025-10-30 12:59:27
92,13,1104-17-08-30,-08-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1104-17-08-30"", ""Dimension"": ""1/2\"""", ""Min.längd"": ""-"", ""Max längd"": ""125""}","[173.88545712557706, 477.9204046630859, 537.0436345880681, 490.136405368381]",9,,2025-10-30 12:59:27
93,13,1104-17-12-30,-12-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1104-17-12-30"", ""Dimension"": ""3/4\"""", ""Min.längd"": ""-"", ""Max längd"": ""145""}","[173.88545712557706, 490.136405368381, 537.0436345880681, 502.3524060736762]",9,,2025-10-30 12:59:27
94,13,1104-17-04,-04,STANDARD,,"{""Artikelnr"": ""1104-17-04"", ""ID mm"": ""6,5"", ""ID tum"": ""1/4\"""", ""YD mm"": ""13,4"", ""Arb.tr. MPa"": ""42,5"", ""Böjradie mm"": ""75"", ""Vikt kg/m"": ""0,30""}","[173.88545712557706, 279.74625835418703, 537.0436345880681, 293.0212560653687]",9,,2025-10-30 12:59:27
95,13,1104-17-05,-05,STANDARD,,"{""Artikelnr"": ""1104-17-05"", ""ID mm"": ""8,0"", ""ID tum"": ""5/16\"""", ""YD mm"": ""15,0"", ""Arb.tr. MPa"": ""40,0"", ""Böjradie mm"": ""85"", ""Vikt kg/m"": ""0,35""}","[173.88545712557706, 293.0212560653687, 537.0436345880681, 306.2962537765503]",9,,2025-10-30 12:59:27
96,13,1104-17-06,-06,STANDARD,,"{""Artikelnr"": ""1104-17-06"", ""ID mm"": ""10,0"", ""ID tum"": ""3/8\"""", ""YD mm"": ""17,2"", ""Arb.tr. MPa"": ""35,0"", ""Böjradie mm"": ""90"", ""Vikt kg/m"": ""0,42""}","[173.88545712557706, 306.2962537765503, 537.0436345880681, 319.57125148773196]",9,,2025-10-30 12:59:27
97,13,1104-17-08,-08,STANDARD,,"{""Artikelnr"": ""1104-17-08"", ""ID mm"": ""13,0"", ""ID tum"": ""1/2\"""", ""YD mm"": ""20,4"", ""Arb.tr. MPa"": ""31,0"", ""Böjradie mm"": ""130"", ""Vikt kg/m"": ""0,52""}","[173.88545712557706, 319.57125148773196, 537.0436345880681, 332.8462491989136]",9,,2025-10-30 12:59:27
98,13,1104-17-10,-10,STANDARD,,"{""Artikelnr"": ""1104-17-10"", ""ID mm"": ""16,0"", ""ID tum"": ""5/8\"""", ""YD mm"": ""23,9"", ""Arb.tr. MPa"": ""28,0"", ""Böjradie mm"": ""160"", ""Vikt kg/m"": ""0,66""}","[173.88545712557706, 332.8462491989136, 537.0436345880681, 346.12124691009524]",9,,2025-10-30 12:59:27
99,13,1104-17-12,-12,STANDARD,,"{""Artikelnr"": ""1104-17-12"", ""ID mm"": ""19,0"", ""ID tum"": ""3/4\"""", ""YD mm"": ""27,7"", ""Arb.tr. MPa"": ""28,0"", ""Böjradie mm"": ""195"", ""Vikt kg/m"": ""0,86""}","[173.88545712557706, 346.12124691009524, 537.0436345880681, 359.3962446212769]",9,,2025-10-30 12:59:27
100,13,1104-17-16,-16,STANDARD,,"{""Artikelnr"": ""1104-17-16"", ""ID mm"": ""25,0"", ""ID tum"": ""1\"""", ""YD mm"": ""35,4"", ""Arb.tr. MPa"": ""21,0"", ""Böjradie mm"": ""250"", ""Vikt kg/m"": ""1,17""}","[173.88545712557706, 359.3962446212769, 537.0436345880681, 372.6712423324585]",9,,2025-10-30 12:59:27
101,14,1106-73-08,-08,STANDARD,,"{""Artikelnr"": ""1106-73-08"", ""ID mm"": ""13,0"", ""ID tum"": ""1/2\"""", ""YD mm"": ""25,2"", ""Arb.tr. MPa"": ""47,0"", ""Böjradie mm"": ""160"", ""Vikt kg/m"": ""0,94""}","[173.94666714138455, 275.33641540527344, 532.4762216244104, 289.4724139404297]",10,,2025-10-30 12:59:52
102,14,1106-73-10,-10,STANDARD,,"{""Artikelnr"": ""1106-73-10"", ""ID mm"": ""16,0"", ""ID tum"": ""5/8\"""", ""YD mm"": ""28,8"", ""Arb.tr. MPa"": ""41,0"", ""Böjradie mm"": ""210"", ""Vikt kg/m"": ""1,13""}","[173.94666714138455, 289.4724139404297, 532.4762216244104, 303.60841247558596]",10,,2025-10-30 12:59:52
103,14,1106-73-12,-12,STANDARD,,"{""Artikelnr"": ""1106-73-12"", ""ID mm"": ""19,0"", ""ID tum"": ""3/4\"""", ""YD mm"": ""32,5"", ""Arb.tr. MPa"": ""37,5"", ""Böjradie mm"": ""260"", ""Vikt kg/m"": ""1,49""}","[173.94666714138455, 303.60841247558596, 532.4762216244104, 317.7444110107422]",10,,2025-10-30 12:59:52
